Journal,缩写,ISSN,EISSN,Catalog,Publisher,CAS-zone,JCR-zone,2024-IF,5-year-IF,JIF Rank,
Cyborg and Bionic Systems,CYBORG BIONIC SYST,N/A,2692-7632,计算机科学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,18.1,14.9,4/124,
TRENDS IN CELL BIOLOGY,TRENDS CELL BIOL,0962-8924,1879-3088,生物学,CELL PRESS,1,Q1,18.1,20.1,11/204,
JAMA Pediatrics,JAMA PEDIATR,2168-6203,2168-6211,医学,AMER MEDICAL ASSOC,1,Q1,18.0,19.5,1/191,
Lancet Global Health,LANCET GLOB HEALTH,2214-109X,2214-109X,医学,ELSEVIER SCI LTD,1,Q1,18.0,23.5,6/419,
Nano Materials Science,NANO MATER SCI,2096-6482,2589-9651,材料科学,KEAI PUBLISHING LTD,1,Q1,17.9,15.8,25/460,
PROGRESS IN PARTICLE AND NUCLEAR PHYSICS,PROG PART NUCL PHYS,0146-6410,1873-2224,物理与天体物理,ELSEVIER,1,Q1,17.9,14.1,1/22,
Lancet Haematology,LANCET HAEMATOL,2352-3026,N/A,医学,ELSEVIER SCI LTD,1,Q1,17.7,16.7,3/98,
Chinese Journal of Catalysis,CHINESE J CATAL,0253-9837,1872-2067,化学,ELSEVIER,1,Q1,17.7,13.6,1/75,
ACCOUNTS OF CHEMICAL RESEARCH,ACCOUNTS CHEM RES,0001-4842,1520-4898,化学,AMER CHEMICAL SOC,1,Q1,17.7,19.9,14/239,
Psychological Science in the Public Interest,PSYCHOL SCI PUBL INT,1529-1006,1539-6053,心理学,SAGE PUBLICATIONS LTD,1,Q1,17.6,41.8,4/221,
ADVANCED DRUG DELIVERY REVIEWS,ADV DRUG DELIVER REV,0169-409X,1872-8294,医学,ELSEVIER,1,Q1,17.6,19.2,4/352,
Eco-Environment & Health,ECO-ENVIRON HEALTH,N/A,2772-9850,N/A,ELSEVIER,N/A,Q1,17.6,17.6,8/374,
Molecular Neurodegeneration,MOL NEURODEGENER,N/A,1750-1326,医学,BMC,1,Q1,17.5,19.3,4/314,
Matter,MATTER-US,2590-2393,2590-2385,材料科学,CELL PRESS,1,Q1,17.5,19.2,26/460,
Trends in Cancer,TRENDS CANCER,2405-8033,2405-8025,医学,CELL PRESS,1,Q1,17.5,18.7,15/326,
PSYCHOTHERAPY AND PSYCHOSOMATICS,PSYCHOTHER PSYCHOSOM,0033-3190,1423-0348,医学,KARGER,1,Q1,17.4,16.9,3/288,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,MMWR-MORBID MORTAL W,0149-2195,1545-861X,医学,CENTERS DISEASE CONTROL & PREVENTION,1,Q1,17.3,14.1,7/419,
PHARMACOLOGICAL REVIEWS,PHARMACOL REV,0031-6997,1521-0081,医学,ELSEVIER,1,Q1,17.3,21.8,5/352,
TRENDS IN ECOLOGY & EVOLUTION,TRENDS ECOL EVOL,0169-5347,1872-8383,生物学,CELL PRESS,1,Q1,17.3,18.7,1/200,
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,IEEE J SEL AREA COMM,0733-8716,1558-0008,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,17.2,17.4,4/366,
TRENDS IN COGNITIVE SCIENCES,TRENDS COGN SCI,1364-6613,1879-307X,心理学,CELL PRESS,1,Q1,17.2,21.8,1/102,
STUDIES IN MYCOLOGY,STUD MYCOL,0166-0616,1872-9797,生物学,WESTERDIJK FUNGAL BIODIVERSITY INST,1,Q1,17.1,22.2,2/32,
JAMA Psychiatry,JAMA PSYCHIAT,2168-622X,2168-6238,医学,AMER MEDICAL ASSOC,1,Q1,17.1,21.8,4/288,
National Science Review,NATL SCI REV,2095-5138,2053-714X,综合性期刊,OXFORD UNIV PRESS,1,Q1,17.1,17.7,8/135,
Nano Energy,NANO ENERGY,2211-2855,2211-3282,材料科学,ELSEVIER,2,Q1,17.1,16.9,10/187,
eTransportation,ETRANSPORTATION,2590-1168,2590-1168,材料科学,ELSEVIER,1,Q1,17.0,17.4,1/77,
Clinical and Molecular Hepatology,CLIN MOL HEPATOL,2287-2728,2287-285X,医学,KOREAN ASSOC STUDY LIVER,1,Q1,16.9,12.0,6/147,
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,ANGEW CHEM INT EDIT,N/A,1521-3773,N/A,WILEY-V C H VERLAG GMBH,N/A,Q1,16.9,16.4,15/239,
International Journal of Educational Technology in Higher Education,INT J EDUC TECHNOL H,2365-9440,2365-9440,教育学,SPRINGER,1,Q1,16.7,15.5,1/756,
Annual Review of Entomology,ANNU REV ENTOMOL,0066-4170,1545-4487,农林科学,ANNUAL REVIEWS,1,Q1,16.7,20.7,1/110,
DIABETES CARE,DIABETES CARE,0149-5992,1935-5548,医学,AMER DIABETES ASSOC,1,Q1,16.6,14.5,6/191,
Journal of Advanced Ceramics,J ADV CERAM,2226-4108,2227-8508,材料科学,TSINGHUA UNIV PRESS,1,Q1,16.6,15.6,1/33,
Molecular Cell,MOL CELL,1097-2765,1097-4164,生物学,CELL PRESS,1,Q1,16.6,17.7,7/319,
CANCER RESEARCH,CANCER RES,0008-5472,1538-7445,医学,AMER ASSOC CANCER RESEARCH,1,Q1,16.6,13.4,16/326,
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHO,1548-5943,1548-5951,心理学,ANNUAL REVIEWS,1,Q1,16.5,24.3,1/185,
Academy of Management Annals,ACAD MANAG ANN,1941-6520,1941-6067,管理学,ACAD MANAGEMENT,1,Q1,16.5,26.9,1/316,
Lancet Rheumatology,LANCET RHEUMATOL,2665-9913,2665-9913,医学,ELSEVIER,1,Q1,16.4,14.6,3/58,
IEEE Geoscience and Remote Sensing Magazine,IEEE GEOSC REM SEN M,2473-2397,2168-6831,地球科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,16.4,19.1,1/65,
Journal of the National Comprehensive Cancer Network,J NATL COMPR CANC NE,1540-1405,1540-1413,医学,HARBORSIDE PRESS,2,Q1,16.4,13.2,17/326,
Green Energy and Intelligent Transportation,GREEN ENERGY INTELL,2097-2512,2773-1537,N/A,ELSEVIER,N/A,Q1,16.4,16.4,2/77,
Science Immunology,SCI IMMUNOL,2470-9468,2470-9468,医学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,16.3,17.7,6/183,
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,RENEW SUST ENERG REV,1364-0321,1879-0690,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,16.3,17.5,3/102,
TRENDS IN GENETICS,TRENDS GENET,0168-9525,1362-4555,生物学,CELL PRESS,1,Q1,16.3,13.7,4/191,
BRITISH JOURNAL OF SPORTS MEDICINE,BRIT J SPORT MED,0306-3674,1473-0480,医学,BMJ PUBLISHING GROUP,1,Q1,16.2,17.8,1/133,
CIRCULATION RESEARCH,CIRC RES,0009-7330,1524-4571,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,16.2,20.8,2/98,
PROGRESS IN AEROSPACE SCIENCES,PROG AEROSP SCI,0376-0421,1873-1724,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,16.2,17.1,1/55,
HUMAN REPRODUCTION UPDATE,HUM REPROD UPDATE,1355-4786,1460-2369,医学,OXFORD UNIV PRESS,1,Q1,16.1,17.9,1/140,
Nature Geoscience,NAT GEOSCI,1752-0894,1752-0908,地球科学,NATURE PORTFOLIO,1,Q1,16.1,20.0,2/258,
Applied Mechanics Reviews,APPL MECH REV,0003-6900,2379-0407,工程技术,ASME,1,Q1,16.1,15.1,2/171,
Nature Protocols,NAT PROTOC,1754-2189,1750-2799,生物学,NATURE PORTFOLIO,2,Q1,16.0,19.4,2/86,
ACS Nano,ACS NANO,1936-0851,1936-086X,材料科学,AMER CHEMICAL SOC,1,Q1,16.0,16.4,28/460,
Annual Review of Environment and Resources,ANNU REV ENV RESOUR,1543-5938,1545-2050,环境科学与生态学,ANNUAL REVIEWS,1,Q1,16.0,22.2,3/191,
Nature Human Behaviour,NAT HUM BEHAV,2397-3374,2397-3374,心理学,NATURE PORTFOLIO,1,Q1,15.9,19.7,2/102,
Energy Material Advances,ENERGY MATER ADV,2097-1133,2692-7640,材料科学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,15.9,15.2,11/187,
HEPATOLOGY,HEPATOLOGY,0270-9139,1527-3350,医学,LIPPINCOTT WILLIAMS & WILKINS,1,Q1,15.8,14.5,7/147,
Physical Review X,PHYS REV X,2160-3308,2160-3308,物理与天体物理,AMER PHYSICAL SOC,1,Q1,15.7,15.4,6/114,
PERIODONTOLOGY 2000,PERIODONTOL 2000,0906-6713,1600-0757,医学,WILEY,1,Q1,15.7,18.1,1/162,
SEMINARS IN CANCER BIOLOGY,SEMIN CANCER BIOL,1044-579X,1096-3650,医学,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,2,Q1,15.7,15.5,18/326,
Nature Communications,NAT COMMUN,N/A,2041-1723,综合性期刊,NATURE PORTFOLIO,1,Q1,15.7,17.2,10/135,
Journal of the American Chemical Society,J AM CHEM SOC,0002-7863,1520-5126,化学,AMER CHEMICAL SOC,1,Q1,15.6,15.5,17/239,
Lancet Child & Adolescent Health,LANCET CHILD ADOLESC,2352-4642,2352-4642,医学,ELSEVIER SCI LTD,1,Q1,15.5,17.8,2/191,
Journal of Innovation & Knowledge,J INNOV KNOWL,2530-7614,2444-569X,管理学,ELSEVIER ESPANA,1,Q1,15.5,15.0,2/316,
Information Fusion,INFORM FUSION,1566-2535,1872-6305,计算机科学,ELSEVIER,1,Q1,15.5,17.9,3/147,
npj Flexible Electronics,NPJ FLEX ELECTRON,N/A,2397-4621,材料科学,NATURE PORTFOLIO,1,Q1,15.5,15.8,6/366,
BMEMat,BMEMAT,2751-7438,2751-7446,N/A,WILEY,N/A,Q1,15.5,15.5,3/55,
INTERNATIONAL MATERIALS REVIEWS,INT MATER REV,0950-6608,1743-2804,材料科学,SAGE PUBLICATIONS INC,1,Q1,15.5,20.6,29/460,
Statistics Surveys,STAT SURV,1935-7516,1935-7516,数学,AMER STATISTICAL ASSOC,2,Q1,15.4,9.4,1/167,
TRENDS IN FOOD SCIENCE & TECHNOLOGY,TRENDS FOOD SCI TECH,0924-2244,1879-3053,农林科学,ELSEVIER SCIENCE LONDON,1,Q1,15.4,18.4,2/181,
CELL DEATH AND DIFFERENTIATION,CELL DEATH DIFFER,1350-9047,1476-5403,生物学,SPRINGERNATURE,1,Q1,15.4,13.7,8/319,
One Earth,ONE EARTH,2590-3330,2590-3322,环境科学与生态学,CELL PRESS,1,Q1,15.3,19.2,4/191,
RADIOLOGY,RADIOLOGY,0033-8419,N/A,医学,RADIOLOGICAL SOC NORTH AMERICA (RSNA),1,Q1,15.2,14.3,1/212,
ANNALS OF INTERNAL MEDICINE,ANN INTERN MED,0003-4819,1539-3704,医学,AMER COLL PHYSICIANS,1,Q1,15.2,19.9,9/332,
JACC-Cardiovascular Imaging,JACC-CARDIOVASC IMAG,1936-878X,1876-7591,医学,ELSEVIER SCIENCE INC,1,Q1,15.2,13.9,1/212,
Translational Neurodegeneration,TRANSL NEURODEGENER,2047-9158,2047-9158,医学,BMC,1,Q1,15.2,15.0,7/314,
Mycosphere,MYCOSPHERE,2077-7000,2077-7019,生物学,MYCOSPHERE PRESS,1,Q1,15.1,15.5,3/32,
npj Digital Medicine,NPJ DIGIT MED,2398-6352,2398-6352,医学,NATURE PORTFOLIO,1,Q1,15.1,17.0,1/185,
TRENDS IN NEUROSCIENCES,TRENDS NEUROSCI,0166-2236,1878-108X,医学,CELL PRESS,1,Q1,15.1,17.2,8/314,
Neuron,NEURON,0896-6273,1097-4199,医学,CELL PRESS,1,Q1,15.0,16.6,9/314,
Bone Research,BONE RES,2095-4700,2095-6231,医学,SPRINGERNATURE,1,Q1,15.0,14.8,2/32,
JAMA Surgery,JAMA SURG,2168-6254,2168-6262,医学,AMER MEDICAL ASSOC,1,Q1,14.9,16.7,1/312,
Journal of Energy Chemistry,J ENERGY CHEM,2095-4956,2095-4956,化学,ELSEVIER,1,Q1,14.9,13.1,2/75,
PROGRESS IN LIPID RESEARCH,PROG LIPID RES,0163-7827,1873-2194,医学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,14.9,16.5,1/112,
TRENDS IN BIOTECHNOLOGY,TRENDS BIOTECHNOL,0167-7799,1879-3096,生物学,CELL PRESS,1,Q1,14.9,16.6,3/177,
TRENDS IN MICROBIOLOGY,TRENDS MICROBIOL,0966-842X,1878-4380,生物学,CELL PRESS,1,Q1,14.9,16.9,9/319,
International Journal of Transgender Health,INT J TRANSGEND HEAL,2689-5269,2689-5277,医学,TAYLOR & FRANCIS INC,2,Q1,14.8,10.8,1/271,
AI Open,AI OPEN,N/A,2666-6510,N/A,KEAI PUBLISHING LTD,N/A,Q1,14.8,29.7,3/175,
PROGRESS IN RETINAL AND EYE RESEARCH,PROG RETIN EYE RES,1350-9462,1873-1635,医学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,14.7,19.2,1/98,
AMERICAN JOURNAL OF PSYCHIATRY,AM J PSYCHIAT,0002-953X,1535-7228,医学,"AMER PSYCHIATRIC PUBLISHING, INC",1,Q1,14.7,17.9,5/288,
ENDOCRINE PATHOLOGY,ENDOCR PATHOL,1046-3976,1559-0097,医学,HUMANA PRESS INC,1,Q1,14.7,7.5,2/90,
Accounts of Materials Research,ACCOUNTS MATER RES,N/A,2643-6728,材料科学,AMER CHEMICAL SOC,1,Q1,14.7,16.0,31/460,
Acta Pharmaceutica Sinica B,ACTA PHARM SIN B,2211-3835,2211-3843,医学,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES",1,Q1,14.6,15.2,6/352,
Science Translational Medicine,SCI TRANSL MED,1946-6234,1946-6242,医学,AMER ASSOC ADVANCEMENT SCIENCE,1,Q1,14.6,16.0,3/195,
Lancet Healthy Longevity,LANCET HEALTH LONGEV,2666-7568,2666-7568,医学,ELSEVIER,1,Q1,14.6,16.3,2/73,
Nature Reviews Urology,NAT REV UROL,1759-4812,1759-4820,医学,NATURE PORTFOLIO,1,Q1,14.6,16.0,4/133,
Green Energy & Environment,GREEN ENERGY ENVIRON,2096-2797,2468-0257,工程技术,KEAI PUBLISHING LTD,1,Q1,14.6,12.4,7/175,
HemaSphere,HEMASPHERE,N/A,2572-9241,医学,WILEY,3,Q1,14.6,10.8,5/98,
Nature Ecology & Evolution,NAT ECOL EVOL,2397-334X,2397-334X,生物学,NATURE PORTFOLIO,1,Q1,14.5,17.6,2/200,
Communications in Transportation Research,COMMUN TRANSP RES,2772-4247,2772-4247,N/A,ELSEVIER,N/A,Q1,14.5,13.5,1/61,
Journal of Extracellular Vesicles,J EXTRACELL VESICLES,N/A,2001-3078,医学,WILEY,1,Q1,14.5,16.7,15/204,
DRUGS,DRUGS,0012-6667,1179-1950,医学,ADIS INT LTD,1,Q1,14.4,13.2,1/106,
Qualitative Psychology,QUAL PSYCHOL,2326-3601,2326-3598,心理学,AMER PSYCHOLOGICAL ASSOC,1,Q1,14.3,8.9,5/221,
IEEE Transactions on Intelligent Vehicles,IEEE T INTELL VEHICL,2379-8858,2379-8904,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,14.3,13.1,7/366,
Nature Astronomy,NAT ASTRON,2397-3366,2397-3366,物理与天体物理,NATURE PORTFOLIO,1,Q1,14.3,14.3,5/84,
Journal of Materials Science & Technology,J MATER SCI TECHNOL,1005-0302,1941-1162,材料科学,ELSEVIER,1,Q1,14.3,12.4,1/96,
Physics of Life Reviews,PHYS LIFE REV,1571-0645,1873-1457,生物学,ELSEVIER,1,Q1,14.3,11.1,1/107,
Environmental Science and Ecotechnology,ENVIRON SCI ECOTECH,2666-4984,2666-4984,环境科学与生态学,ELSEVIER,1,Q1,14.3,15.0,11/374,
Autophagy,AUTOPHAGY,1554-8627,1554-8635,生物学,TAYLOR & FRANCIS INC,1,Q1,14.3,17.1,16/204,
Energy Economics,ENERG ECON,0140-9883,1873-6181,经济学,ELSEVIER,1,Q1,14.2,13.2,1/617,
COMPOSITES PART B-ENGINEERING,COMPOS PART B-ENG,1359-8368,1879-1069,材料科学,ELSEVIER SCI LTD,1,Q1,14.2,12.7,1/175,
JOURNAL OF MANUFACTURING SYSTEMS,J MANUF SYST,0278-6125,1878-6642,工程技术,ELSEVIER SCI LTD,1,Q1,14.2,13.9,1/106,
JAMA Cardiology,JAMA CARDIOL,2380-6583,2380-6591,医学,AMER MEDICAL ASSOC,1,Q1,14.1,15.6,7/230,
Energy & Environmental Materials,ENERGY ENVIRON MATER,N/A,2575-0356,材料科学,WILEY,1,Q1,14.1,14.7,33/460,
Advanced Science,ADV SCI,N/A,2198-3844,综合性期刊,WILEY,1,Q1,14.1,15.6,33/460,
COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,COMPR REV FOOD SCI F,1541-4337,1541-4337,农林科学,WILEY,1,Q1,14.1,17.8,3/181,
Annual Review of Control Robotics and Autonomous Systems,ANNU REV CONTR ROBOT,N/A,2573-5144,计算机科学,ANNUAL REVIEWS,1,Q1,14.0,17.6,2/89,
ACADEMY OF MANAGEMENT REVIEW,ACAD MANAGE REV,0363-7425,1930-3807,管理学,ACAD MANAGEMENT,1,Q1,13.9,19.3,3/316,
ARTIFICIAL INTELLIGENCE REVIEW,ARTIF INTELL REV,0269-2821,1573-7462,计算机科学,SPRINGER,1,Q1,13.9,14.9,7/204,
TRENDS IN IMMUNOLOGY,TRENDS IMMUNOL,1471-4906,1471-4981,医学,CELL PRESS,2,Q1,13.9,15.2,7/183,
Journal of Magnesium and Alloys,J MAGNES ALLOY,2213-9567,2213-9567,材料科学,KEAI PUBLISHING LTD,1,Q1,13.8,14.1,2/96,
Advances in Applied Energy,ADV APPL ENERGY,2666-7924,2666-7924,工程技术,ELSEVIER,1,Q1,13.8,14.4,13/182,
TRENDS IN MOLECULAR MEDICINE,TRENDS MOL MED,1471-4914,1471-499X,医学,CELL PRESS,1,Q1,13.8,14.4,4/195,
Materials Reports: Energy,MATER REP-ENERGY,N/A,2666-9358,N/A,KEAI PUBLISHING LTD,N/A,Q1,13.8,13.4,13/182,
ADVANCES IN PHYSICS,ADV PHYS,0001-8732,1460-6976,物理与天体物理,TAYLOR & FRANCIS LTD,1,Q1,13.8,43.5,6/79,
International Journal of Mining Science and Technology,INT J MIN SCI TECHNO,2095-2686,2212-6066,工程技术,ELSEVIER,1,Q1,13.7,10.1,1/33,
BEHAVIORAL AND BRAIN SCIENCES,BEHAV BRAIN SCI,0140-525X,1469-1825,心理学,CAMBRIDGE UNIV PRESS,1,Q1,13.7,16.4,2/57,
Nature Chemical Biology,NAT CHEM BIOL,1552-4450,1552-4469,生物学,NATURE PORTFOLIO,1,Q1,13.7,15.7,12/319,
IEEE Journal of Selected Topics in Signal Processing,IEEE J-STSP,1932-4553,1941-0484,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,2,Q1,13.7,11.6,8/366,
Annual Review of Biophysics,ANNU REV BIOPHYS,1936-122X,1936-1238,生物学,ANNUAL REVIEWS,1,Q1,13.7,15.1,2/79,
IEEE TRANSACTIONS ON IMAGE PROCESSING,IEEE T IMAGE PROCESS,1057-7149,1941-0042,计算机科学,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,1,Q1,13.7,13.7,8/366,
Aggregate,AGGREGATE,N/A,2692-4560,化学,WILEY,1,Q1,13.7,15.3,36/460,
Nature Plants,NAT PLANTS,2055-026X,2055-0278,生物学,NATURE PORTFOLIO,1,Q1,13.6,17.0,4/273,
JOURNAL OF CLINICAL INVESTIGATION,J CLIN INVEST,0021-9738,1558-8238,医学,AMER SOC CLINICAL INVESTIGATION INC,1,Q1,13.6,14.4,5/195,
Interdisciplinary Medicine,INTERD MED,2832-6237,2832-6245,N/A,WILEY,N/A,Q1,13.6,13.6,5/195,
Trends in Chemistry,TRENDS CHEM,N/A,2589-5974,化学,CELL PRESS,1,Q1,13.6,16.6,22/239,
Biochar,BIOCHAR,2524-7972,2524-7867,环境科学与生态学,SPRINGER SINGAPORE PTE LTD,1,Q1,13.5,14.1,1/48,
Experimental Hematology & Oncology,EXP HEMATOL ONCOL,N/A,2162-3619,医学,BMC,2,Q1,13.5,11.3,6/98,
ACTA PHYSICO-CHIMICA SINICA,ACTA PHYS-CHIM SIN,1000-6818,N/A,化学,PEKING UNIV PRESS,2,Q1,13.5,6.6,20/185,
Advances in Methods and Practices in Psychological Science,ADV METH PRACT PSYCH,2515-2459,2515-2467,心理学,SAGE PUBLICATIONS INC,1,Q1,13.4,18.5,6/221,
NEURO-ONCOLOGY,NEURO-ONCOLOGY,1522-8517,1523-5866,医学,OXFORD UNIV PRESS INC,1,Q1,13.4,16.0,4/285,
Implementation Science,IMPLEMENT SCI,1748-5908,1748-5908,医学,BMC,1,Q1,13.4,11.7,1/124,
Trends in Environmental Analytical Chemistry,TRENDS ENVIRON ANAL,2214-1588,2214-1588,化学,ELSEVIER,2,Q1,13.4,12.4,1/111,
LEUKEMIA,LEUKEMIA,0887-6924,1476-5551,医学,SPRINGERNATURE,1,Q1,13.4,10.6,20/326,
Annual Review of Nutrition,ANNU REV NUTR,0199-9885,1545-4312,医学,ANNUAL REVIEWS,1,Q1,13.4,14.8,2/112,
CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,CURR OPIN SOLID ST M,1359-0286,1879-0348,材料科学,PERGAMON-ELSEVIER SCIENCE LTD,2,Q1,13.4,13.1,12/187,
Theranostics,THERANOSTICS,1838-7640,1838-7640,医学,IVYSPRING INT PUBL,1,Q1,13.3,13.1,7/195,
Business Strategy and the Environment,BUS STRATEG ENVIRON,0964-4733,1099-0836,管理学,WILEY,1,Q1,13.3,16.1,5/420,
CARDIOVASCULAR RESEARCH,CARDIOVASC RES,0008-6363,1755-3245,医学,OXFORD UNIV PRESS,1,Q1,13.3,12.0,8/230,
TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,TECHNOL FORECAST SOC,0040-1625,1873-5509,管理学,ELSEVIER SCIENCE INC,1,Q1,13.3,13.9,1/55,
Radiology-Artificial Intelligence,RADIOL-ARTIF INTELL,2638-6100,2638-6100,医学,RADIOLOGICAL SOC NORTH AMERICA (RSNA),1,Q1,13.2,13.2,3/212,
Annual Review of Neuroscience,ANNU REV NEUROSCI,0147-006X,1545-4126,医学,ANNUAL REVIEWS,1,Q1,13.2,16.9,11/314,
Chemical Engineering Journal,CHEM ENG J,1385-8947,1873-3212,材料科学,ELSEVIER SCIENCE SA,1,Q1,13.2,13.5,3/83,
CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,CRIT REV ENV SCI TEC,1064-3389,1547-6537,环境科学与生态学,TAYLOR & FRANCIS INC,1,Q1,13.2,14.6,14/374,
NUCLEIC ACIDS RESEARCH,NUCLEIC ACIDS RES,0305-1048,1362-4962,生物学,OXFORD UNIV PRESS,2,Q1,13.1,16.8,13/319,
Journal of Retailing and Consumer Services,J RETAIL CONSUM SERV,0969-6989,1873-1384,管理学,ELSEVIER SCI LTD,1,Q1,13.1,12.8,6/316,
CEMENT AND CONCRETE RESEARCH,CEMENT CONCRETE RES,0008-8846,1873-3948,工程技术,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,13.1,15.3,1/95,
Annual Review of Pharmacology and Toxicology,ANNU REV PHARMACOL,0362-1642,1545-4304,医学,ANNUAL REVIEWS,1,Q1,13.1,14.2,2/106,
CEMENT & CONCRETE COMPOSITES,CEMENT CONCRETE COMP,0958-9465,1873-393X,工程技术,ELSEVIER SCI LTD,1,Q1,13.1,13.4,1/95,
ACS Catalysis,ACS CATAL,2155-5435,2155-5435,化学,AMER CHEMICAL SOC,1,Q1,13.1,13.3,21/185,
JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY C-PHOTOCHEMISTRY REVIEWS,J PHOTOCH PHOTOBIO C,1389-5567,1873-2739,化学,ELSEVIER,1,Q1,13.1,15.9,21/185,
Journal of Bioresources and Bioproducts,J BIORESOUR BIOPROD,2097-2415,2369-9698,农林科学,KEAI PUBLISHING LTD,1,Q1,13.0,N/A,1/24,
Lancet Regional Health-Europe,LANCET REG HEALTH-EU,2666-7762,2666-7762,医学,ELSEVIER,1,Q1,13.0,12.5,3/185,
Journal of Advanced Research,J ADV RES,2090-1232,2090-1224,综合性期刊,ELSEVIER,1,Q1,13.0,11.6,11/135,
Lancet HIV,LANCET HIV,2352-3018,2352-3018,医学,ELSEVIER INC,1,Q1,13.0,12.3,3/137,
HUMAN RESOURCE MANAGEMENT REVIEW,HUM RESOUR MANAGE R,1053-4822,1873-7889,管理学,ELSEVIER,1,Q1,13.0,13.2,6/420,
Annual Review of Earth and Planetary Sciences,ANNU REV EARTH PL SC,0084-6597,1545-4495,地球科学,ANNUAL REVIEWS,1,Q1,13.0,18.5,3/258,
Foundations and Trends in Information Retrieval,FOUND TRENDS INF RET,1554-0669,1554-0677,计算机科学,NOW PUBLISHERS INC,1,Q1,12.9,13.3,2/258,
BIOMATERIALS,BIOMATERIALS,0142-9612,1878-5905,医学,ELSEVIER SCI LTD,1,Q1,12.9,13.4,5/124,
EXPERIMENTAL AND MOLECULAR MEDICINE,EXP MOL MED,1226-3613,2092-6413,医学,SPRINGERNATURE,1,Q1,12.9,14.2,8/195,
ENDOSCOPY,ENDOSCOPY,0013-726X,1438-8812,医学,GEORG THIEME VERLAG KG,1,Q1,12.8,10.3,2/312,
INTERNATIONAL JOURNAL OF PLASTICITY,INT J PLASTICITY,0749-6419,1879-2154,材料科学,PERGAMON-ELSEVIER SCIENCE LTD,1,Q1,12.8,11.6,3/182,
JACC: CardioOncology,JACC-CARDIOONCOL,2666-0873,2666-0873,医学,ELSEVIER,1,Q1,12.8,13.4,9/230,
JOURNAL OF EXPERIMENTAL & CLINICAL CANCER RESEARCH,J EXP CLIN CANC RES,N/A,1756-9966,医学,BMC,1,Q1,12.8,12.2,22/326,
SmartMat,SMARTMAT,2766-8525,2688-819X,材料科学,WILEY,1,Q1,12.8,13.3,39/460,
Protein & Cell,PROTEIN CELL,1674-800X,1674-8018,生物学,OXFORD UNIV PRESS,1,Q1,12.8,19.5,18/204,
Annual Review of Chemical and Biomolecular Engineering,ANNU REV CHEM BIOMOL,1947-5438,1947-5446,工程技术,ANNUAL REVIEWS,1,Q1,12.8,11.9,3/75,
QUARTERLY JOURNAL OF ECONOMICS,Q J ECON,0033-5533,1531-4650,经济学,OXFORD UNIV PRESS INC,1,Q1,12.7,20.9,2/617,
Microbiome,MICROBIOME,2049-2618,2049-2618,生物学,BMC,1,Q1,12.7,16.6,8/163,
Computer Science Review,COMPUT SCI REV,1574-0137,1876-7745,计算机科学,ELSEVIER,1,Q1,12.7,16.0,3/258,
KIDNEY INTERNATIONAL,KIDNEY INT,0085-2538,1523-1755,医学,ELSEVIER SCIENCE INC,1,Q1,12.6,13.7,5/133,
Analytic Methods in Accident Research,ANAL METHODS ACCID R,2213-6657,2213-6665,工程技术,ELSEVIER,1,Q1,12.6,14.2,10/419,
JOURNAL OF NANOBIOTECHNOLOGY,J NANOBIOTECHNOL,N/A,1477-3155,生物学,BMC,1,Q1,12.6,12.3,4/177,
TRENDS IN ENDOCRINOLOGY AND METABOLISM,TRENDS ENDOCRIN MET,1043-2760,1879-3061,医学,CELL PRESS,1,Q1,12.6,12.5,8/191,
EcoMat,ECOMAT,N/A,2567-3173,材料科学,WILEY,2,Q1,12.6,13.1,7/102,
TECHNOLOGY IN SOCIETY,TECHNOL SOC,0160-791X,1879-3274,管理学,ELSEVIER SCI LTD,2,Q1,12.5,11.5,2/271,
